id,text,job_loss,is_unemployed,job_search,is_hired,job_offer
186576462197964801,"first day of work in my newly promoted position, which is incredible. i also find out if i get a place at my dream house #pisspisspisspiss",0,0,0,1,0
591010699016609792,"if you are in south florida (boca raton, ft lauderdale) &amp; looking for an it director, my division is being laid off. http://t.co/teikdrc1x6",1,1,1,0,0
509817609349386240,was just hired to tech edited for a swiss indie dyer (yarn company for you non-fiber tweeps). i'm soooo excited!!!!!,0,0,0,1,0
328564872591855616,beyonce hires someone to make sure her boobs are correctly positioned to make sure she doesn't suffer a nip slip... what even is this? ahaha,0,0,0,0,0
270548240389263361,today is monday!!!!why are you in line already for black friday sales??? clearly your unemployed,0,0,0,0,0
419950741500203008,anyone know of anyplace hiring??? i need a second job please give me suggestions,0,0,1,0,0
787966545158737920,"want to work in #secaucus, new jersey? view our latest opening: https://t.co/mn5awudcxa #job #nowhiring #gethired #clerical #jobs #hiring",0,0,0,0,1
489640314282319872,@hbalghanim @lisahadd i'm coming soon i'll help but ull have to pay. i'm unemployed and getting deprived,0,1,0,0,0
668585328723136512,"interested in a #retail #job near #coquitlam, british columbia? this could be a great fit: https://t.co/wv7rx1kjgq #veterans #hiring",0,0,0,0,1
474450105605844992,"luke was 3 hours late to work on tuesday and 4 hours late yesterday.

how do you still have a job",0,0,0,0,0
410309667940626432,today i woke up found $50 in my shoe then found my headphones i lost 6 weeks ago. talked to a lovely scottish man at work who give me $10tip,0,0,0,0,0
423245794838192129,currently filling out a job application... where did my childhood go?,0,1,1,0,0
482037198804377600,"does that shit roll over into dollars? you getting laid off these laughs or what, man?",0,0,0,0,0
590760429112193025,nigga u might get laid off while another gets promoted!!,0,0,0,0,0
379934862582743040,"being unemployed means i've given up smoking and started jogging again, so not all bad!!!",0,1,0,0,0
441981280998006784,home with the kids today? looking for something to do? get fired up! &amp; work on your submittal http://t.co/wq4umhe1g1 http://t.co/h45ro3515c,0,0,0,0,0
507097330861211648,good morning peeps. i am loving my new job and i am starting work in the afternoon! i get to lie in bed! oh yeah!! #mornings #work,0,0,0,1,0
136837725360893952,"i'm soo ready to be laid off for a lil while, even tho unemployment isn't as much money. i'll take 420wk for doin nothin #vacationrealsoon",1,0,0,0,0
469610050940444672,is there anyone else unemployed in napa? #businessinsider,0,1,0,0,0
353588555546771458,who is hiring ? yo i need a fucking job,0,1,1,0,0
467355880799748097,exactly one year since i was hired at lazy dog! now to go begin my 12 hour shift...,0,0,0,0,0
159873555998326784,i got an j.o.b *craig daddy voice* today,0,0,0,1,0
337400454885543937,"@apanduhh exactly! and what happens when they've laid off all these teachers, and in 5 years there's a shortage of them? bam.",0,0,0,0,0
771524869137707009,"interested in a #job in #mesquite, tx? this could be a great fit: https://t.co/wqjitwi366 #retail #hiring",0,0,0,0,1
422832123427708928,!!! :( !!!! / @poppedculture: i am now @nationalpost's former social media editor. laid off this afternoon with a few others.,1,1,0,0,0
260537061474439168,"the pistachio commercial that says ""the secret service do it.. then get fired."" #hilarious",0,0,0,0,0
686243138864730113,i am looking for a buyer on 1522 n prospect ave 805 #milwaukee #wi https://t.co/marc50xpqx #realestate https://t.co/ih8lgfjtvo,0,0,0,0,1
507195695485702144,poacher turned gamekeeper ? rbs have hired an ex spot trader to work in the surveillance team of their legal and compliance dept.,0,0,0,0,0
390197611472236544,"got laid off today because i over slept, sorry i was just really tired from the 3 flights i had back to the us. now to find a new job!",1,1,1,0,0
356446277829013507,man got called out to work yesterday and again today fml not my week/weekend,0,0,0,0,0
178983949991821312,"somebody might get laid off, you might get promoted !",0,0,0,0,0
352087141586714626,unemployed? tired of your job? looking for an additional source of income? @305nofault can help!!! we… http://t.co/ymedd96pmj,0,0,0,0,1
743863132188250112,"#becomingunemployed #asideculeraeslavida
@omarpamanes @ uadec ciudad… https://t.co/avtisnft8n",1,0,0,0,0
556684116624547840,i fired up a mabank kid last night on twitter and he never fired back,0,0,0,0,0
259136935866548224,somebody might get laid off and you might get promoted. #guttaguttabitch #webbie&gt;&gt;&gt;&gt;&gt;,0,0,0,0,0
393899709452255232,how am i supposed to live on $405 a week??? #unemployment,0,1,1,0,0
531067576676536320,hiring superstar bar folk-experience essential-know anyone?looking for a new place to work? rt #jobs #bars #oxford http://t.co/8bgcvsc8nd,0,0,0,0,1
441567957886701568,i'm unemployed at the moment and that's deemed unacceptable but if i was an unemployed student who sat around getting high then that's fine.,0,1,0,0,0
190598875256598528,i ate like a dozen cupcakes in a short period of time earlier this week...thx for the inspiration @justinemachine and a late happy b-day,0,0,0,0,0
453955163259039744,"honestly, ever since i got hired at @starbucks i look forward to work everyday♡",0,0,0,0,0
362275039145500672,"now i have 3 jobs on call, what?!",0,0,0,1,0
663411474266656768,this #skilledtrade #job might be a great fit for you: excellent opportunity for facilities maintenance worker - https://t.co/tn9afxx9l2,0,0,0,0,1
406585646388891648,"@silk1874 - that's how we roll in the shire. 

that's also why i think i'm still unemployed",0,1,0,0,0
766571362563465216,"interested in a #job near #mumbai, maharashtra? this could be a great fit: https://t.co/4nlrj1hdta #skilledtrade #hiring",0,0,0,0,1
137566682708312064,@ecast300 lmfao jk man. i was unemployed at the time! :p but i got you today!? #shadaloo,0,0,0,0,0
332689240498520064,"i understand ""saying goodbye"" emails about deans, but what about the pe staff you laid off, @barnardcollege. #notcoolaboutthepool",0,0,0,0,0
318547607767097344,so my boss put me on te schedule this week even thou i quit?,1,1,0,0,0
228954518627446784,funny thing is... i was playing vacation earlier today... then they fired me,1,1,0,0,0
260497299501891586,currently unemployed..,0,1,0,0,0
208067610296852480,oh man i love dateline nbc......did anne curry's worthless butt get fired?,0,0,0,0,0
523589359321493505,"a couple of days ago i was unemployed and now i have two jobs, and start them on monday. life is so cool",0,0,0,1,0
237991431887802369,i'm no longer unemployed! today is a great day! i'm getting the chance to work under one of the best sports columnist of all time.,0,0,0,1,0
283824101531992064,"not searching but letting it come as it does, gotta meet new ppl to be in the position you wanna be in",0,0,0,0,0
474165966746951680,my job tried to make me work saturday knowing i took off this saturday like last month lol.,0,0,0,0,0
428282059312742400,i'm currently eating chips and ravioli. for my next act i will scream loudly color my face with marker pee in the corner and take a nap.,0,0,0,0,0
725054551938752513,"today's #fromthegreycollection is the painting ""composition"" by #salvadordalí.

ever the… https://t.co/ouyvxmq2mv",0,0,0,0,0
674263010945339392,"can you recommend anyone for this #job? yard shifter (tractor trailer) - https://t.co/nqhgi5keak #mesquite, tx #transportation #hiring",0,0,0,0,1
450041387208019969,i am now unemployed for 6 months till i graduate and start my dream job.,1,1,0,1,0
355011620256227329,"lol i'm unemployed
well technically not till saturday.
but... i got fired today. #woo!",1,1,0,0,0
559526600383811584,did you consider searching for a job after being fired? #askwwe #royalrumble,0,0,0,0,0
553949715394752513,"you're not an ""entrepreneur"", you're unemployed and sell weed",0,0,0,0,0
314338690744856577,@x_overcomer :-) that hitman you hired didn't do a good job,0,0,0,0,0
417812074316574720,when seasonal positions come to an end and you're waiting to find out who gets hired on it's like survivor. who will remain on the island?,0,0,0,0,0
339844589085138945,"plus my other friends looked after my precious feelings today and supported my idiotic decision to stay unemployed, i'm a lucky girl",0,1,0,0,0
367804390159024129,i applied at @booksamillion here's hoping i get hired because i love that store.,0,1,1,0,0
364596493958647809,@ivannfb haha lucky you :) that's pretty much what i do all day since i got laid off lol,1,1,0,0,0
696031100661923840,i am looking for a buyer on 544 s paula ave #wichita #ks https://t.co/sk0humt132 #realestate https://t.co/mkrl5qil8l,0,0,0,0,1
744704212081094656,looking for a full time position in the wine industry? #paradiseridgewinery is looking for 2… https://t.co/vfl8r1x0q3,0,0,0,0,1
464171049538437122,#wcw nickiminaj boy boy. she laid off the pink wigs now she a1. @ eastside of albany http://t.co/zjdci1sdix,0,0,0,0,0
528756829682020352,anyone work someplace they love and that place is hiring? let me know :),0,0,1,0,0
463748104122937344,"if mark jackson gets fired, can someone hire him so he won't do commentating? please?!",0,0,0,0,0
402691415446024192,i've filled out at least 10 job applications in the past two days. i better get hired somewhere... #needajob,0,1,1,0,0
618285049817894912,i fired you btw. that why you don't work @cynthia_ortiz01,0,0,0,0,0
400431062729244672,so my orchestra teacher got fired today she wasn't a bad teacher she was annoying maybe that's why she got fired,0,0,0,0,0
690965002442792960,i am looking for a buyer on 347 rich ave #biloxi #ms https://t.co/bd0jp5qtva #realestate https://t.co/hlbag53dl5,0,0,0,0,1
350003872896516097,"looking for a registered practical nurse (part-time - 3 positions)  cornwall, on - apply today! #job #hiring http://t.co/3zfkzpf4es",0,0,0,0,1
485116686245195776,started to quit my job yesterday but then i thought about it im not quitting another job became of a manager,0,0,0,0,0
464420786678562816,my dumbass brother got fired from his job so now he's gathering unemployment and playing 2k all dm day.,0,0,0,0,0
343479997840891904,"just got hired as the new studio engineer at tmanic recording studio.
#grindhard",0,0,0,1,0
303678145754701826,my supervisor got fired today. nigga #salty af lol,0,0,0,0,0
338790275205967872,my new job does random drug tests but at my old one i smoked with my manager and gave him pills?? what??,0,0,0,0,0
511899166923317249,just got hired for another job and maybe another on thursday 😂😂 i swear i need to stop working so hard. officially have 6 jobs now #nosleep,0,0,1,1,0
453995407782060033,so i was late to work because of the bus and now my assistant manager wants to talk to me. probs getting fired,0,0,0,0,0
343057971200270336,am looking for someone who needs a job,0,0,0,0,0
238427505294467072,"i'm at panevino wood fired pizzeria (allen, tx) http://t.co/ec9nibnb",0,0,0,0,0
