tweet_id,text,score,rank,point,class
6.55139E+17,So I got fired today...😒,0.949437201,1,0,1
7.20478E+17,Just got fired 🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0.939173222,2,0,1
3.55112E+17,Just got fired. Best day of my life.,0.9269014,3,0,1
5.16367E+17,Actually got fired on my day off. Lol,0.922079921,4,0,1
2.62991E+17,Just got fired for the first time ever...,0.918571711,5,0,1
2.51349E+17,well finally got fired.,0.918126702,6,0,1
1.00994E+18,just got fired 😁,0.913509607,7,0,1
1269009569,got fired yesterday. u.u,0.911311924,8,0,1
7.05033E+17,Today is fired. Yesterday too.,0.909148812,9,0,1
1.95241E+17,Kinda sorta just got fired....??,0.905611932,10,0,1
1.15066E+18,So I just got fired LMFAOO,0.903001666,11,1,1
6.64566E+17,Just got fired. No reason.,0.899442971,12,1,1
8.05143E+17,So..got fired. https://t.co/xbyMQsFkCJ,0.896117151,13,1,1
3.6227E+17,Well I think I got fired today,0.893537819,14,1,1
1.1752E+18,I got fired on Thursday 😂 https://t.co/TDBxG4vrNL,0.890140295,15,1,1
1.09975E+18,Damn I just got fired,0.886777103,16,1,1
5.30827E+17,"I got fired today, yay me. http://t.co/GH0YBLankg",0.879299998,17,1,1
1.1348E+18,Well I’m fucking bummed.,0.868862808,18,1,0
1.2361E+18,Life update: I got fired today 🥴,0.865007937,19,1,1
2.60215E+17,I got fired on my day off smh lol,0.849713683,20,1,1
1.10754E+18,Fire me already lol,0.640752435,101,2,0
1.14278E+18,I got fired a couple of times 🤣🤣 https://t.co/ha53gyNG3e,0.639618397,102,2,1
7.51448E+16,@_prettySTyLiSt_ nigga I got fired last week..smh,0.636946499,103,2,1
6.28233E+17,I straight lost my job lol,0.636075377,104,2,1
3.81644E+17,Well I'm off. Hmmm,0.635059416,105,2,0
3.18788E+17,Ugh I'm getting fired tomorrow . I was hoping to quit instead 😡,0.634983957,106,2,1
1.24218E+18,Welp officially laid off 🤘🏼,0.634412229,107,2,1
1.74975E+17,I'm fired lol,0.632434666,108,2,1
4.34086E+17,@morgain5 You're also forgetting that I got laid off last month.,0.631758749,109,2,1
1.43944E+17,#oomf and there slow texting. About to be fired,0.630674243,110,2,1
5.53866E+17,@SeilerCorey All week off because I got layed off,0.467067331,317,3,1
7.84836E+17,So fired its not even funny,0.466751665,318,3,1
7.73297E+17,"#gtlive Happy to be able to watch GTLive again. Thank you for making me laugh today, I lost my job. Thank you @MatPatGT",0.466325283,319,3,1
7.00922E+17,And I am dead again,0.464805573,320,3,0
