,id,pos_model,neg_model,text,pos,neg
0,5350,0.8000602722167969,0.19993969798088074,I recently came down off my high horse. Eh it was a self appointed position anyway. #1reflection,0,1
1,2889,0.9183747172355652,0.08162528276443481,Got to work at 6am &amp; not long after I got scolded by a co-worker over something small that I missed doing a different position yesterday.,0,1
2,3796,0.992123544216156,0.00787649117410183,#Accounting #Job alert: Controller | Robert Half Management Resources | #CLEVELAND  OH http://t.co/LrNHsZkkjr #Jobs,0,1
3,641,0.9743552207946777,0.02564479038119316,Just got hired to clean another store at water side shops named Panerai boutique .. Does anyone know what kind store is that ?,0,1
4,1414,0.9896021485328674,0.010397829115390778,Unemployed Under-Employed Unhappily Employed? Find jobs &amp; career solutions on LinkedIn in JCD The Job Seeker &amp;... http://t.co/x7VIlwY9nC,0,1
5,869,0.988471269607544,0.011528769508004189,RT @AlisaValentin: Boxed In: How a Criminal Record Keeps You Unemployed For Life | The Nation http://t.co/LWHUF7VRJy via @thenation,0,1
6,1998,0.961168646812439,0.038831379264593124,My manager from my second job tried to come crazy talking about I need to work 3 days. Boy take this 3 day notice,0,1
7,2622,0.01610242761671543,0.9838975071907043,One option here is that I get fired entirely from 2nd job so maybe Ill be looking for a new 2nd job soon?? WHO KNOWS.,0,1
8,4176,0.9844216108322144,0.015578409656882286,RT @Banter_Buddies: @whiskeybrothers @ThatFireFan1999 We do appreciate a nice twitter argument between an Argo HS student and an unemployed…,0,1
9,2186,0.011479402892291546,0.988520622253418,1st week I didnt get a video up but theres1 coming! Heres a link share subscribe! https://t.co/rNxBOl6s6P #YouTube #unemployed #jobhunt,0,1
10,3822,0.939817488193512,0.06018250808119774,@MaxGraham @Audien Cant help but make connection to a story I posted last year large group of their developers were laid off.,0,1
11,1307,0.9924619793891907,0.007538100238889456,Interested in a #job in #Quitman TX? This could be a great fit: https://t.co/7tEt93KQrL #Retail #Hiring #CareerArc,0,1
12,3775,0.9268015623092651,0.07319838553667068,Youre selling yourself out when you keep doing all this shit for free @blogging4jobs On the line between exposure and living #clarkclass,0,1
13,3618,0.9900652766227722,0.00993470661342144,Looking for a new career with great earning potential in a fun work environment? http://t.co/nY5YFtUMe7,0,1
14,896,0.9913539290428162,0.008646078407764435,Looking for a new #job? Check out these open positions! http://t.co/TtR2yQLPzm,0,1
15,2023,0.9907436966896057,0.009256267920136452,Looking for a new job? The Ultimate Guide to Getting Hired Through #SocialMedia [infographic]: http://t.co/2WQogRbKsn #jobsearch,0,1
16,3059,0.1896458864212036,0.8103540539741516,My shipping scale is broken I lost the keys for the place I housesat for and my place is a mess because my scale is broken. Today I quit.,0,1
17,3850,0.01619754359126091,0.9838024377822876,So I lost a job opportunity b/c of an idiot receptionist but they hired me for something I didnt even apply for?,0,1
18,176,0.9218411445617676,0.07815882563591003,Today at worked I served a man who a tattoo of the converse logo on his neck ??!!! And only had $100 bills in his wallet,0,1
19,2037,0.9912145137786865,0.008785443380475044,Looking to get hired online? Follow these best practices from @CAREEREALISM: http://t.co/ciXDuzurzw #hireme #jobhuntchat,0,1
20,4829,0.9477602243423462,0.05223969370126724,somebody might get laid off and you MIGHT get promoted,0,1
21,736,0.9838188290596008,0.016181115061044693,Job Opportunity #359 BU#2 - Production Team Members - 3rd shift - If you are interested in this position please sign the sign up roster located in Human Resources by Friday November 2 2018.,0,1
22,2248,0.9827407002449036,0.01725931093096733,Ad: Unemployed? Looking for a new Job or Career? Work at Home Positions avail $80-$90 a hr http://t.co/cI4XEi6f,0,1
23,1884,0.9904145002365112,0.009585465304553509,RT @Ch2KTUU: Walker: Some state workers may be temporarily laid off due to budget impasse http://t.co/nFwyT1muFD http://t.co/QQfTVlubqa,0,1
24,821,0.9801461100578308,0.01985383778810501,Dom quit wack in off on the mail! https://t.co/XUcaOj93JP,0,1
25,2128,0.9916403293609619,0.008359667845070362,Searching for #work in Loudon NH? Send your #resume to Levy Restaurant Limited Partnership. http://t.co/CiB5zAuOru #gethired,0,1
26,291,0.9440549612045288,0.05594503507018089,OMG I GOT HIRED @ A&amp;F. #Happiness #Menlo,0,1
27,4998,0.8510580062866211,0.1489420235157013,So I was working third shift last week now Im working first shift this week my sleep schedule is gonna be terrible,0,1
28,3557,0.9478643536567688,0.05213567242026329,Every single summer since I started working at my job I get a new scar on my hand and arm from a cat scratching me. #jerks,0,1
29,3767,0.9915306568145752,0.008469347842037678,Wanted Clerk IV/ Communications Coordinator Computer Science Amherst Massachusetts US Permanent #amherstjobs https://t.co/5vcsNgWMft,0,1
